id,metric_name,metric_definition,dimension_id,priority,nature,category,direction,digital,unit_of_measurement,weightage,last_updated_date,last_updated_by,type,min_value,max_value
2650,"Reduction in number of incidents, reduction in average time to identify and resolve incidents, increase in system uptime, increase in user satisfaction rate.","Reduction in number of incidents, reduction in average time to identify and resolve incidents, increase in system uptime, increase in user satisfaction rate.",3336,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2651,"Cost Savings, Time Reduction, Accuracy Improvement","Cost Savings, Time Reduction, Accuracy Improvement",3325,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2652,"Efficiency Improvement, Error Reduction, Time Savings","Efficiency Improvement, Error Reduction, Time Savings",3325,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2653,"Employee Productivity, Efficiency Improvement, Error Reduction","Employee Productivity, Efficiency Improvement, Error Reduction",3325,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2654,"Downtime Reduction, Disaster Recovery Time, System Availability","Downtime Reduction, Disaster Recovery Time, System Availability",3325,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2655,"Mean time to resolve (MTTR), Number of incidents resolved by automation","Mean time to resolve (MTTR), Number of incidents resolved by automation",3326,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2656,"Number of incidents detected before user impact, Reduction in mean time to detect (MTTD)","Number of incidents detected before user impact, Reduction in mean time to detect (MTTD)",3326,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2657,"Recovery time objective (RTO), Recovery point objective (RPO)","Recovery time objective (RTO), Recovery point objective (RPO)",3326,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2658,"Reduction in false positives, Improvement in accuracy of anomaly detection","Reduction in false positives, Improvement in accuracy of anomaly detection",3326,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2659,Mean Time to Recovery (MTTR),Mean Time to Recovery (MTTR),3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2660,Number of incidents,Number of incidents,3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2661,Availability percentage,Availability percentage,3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2662,Mean Time to Detect (MTTD),Mean Time to Detect (MTTD),3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2663,Number of alerts,Number of alerts,3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2664,Time to resolve incidents,Time to resolve incidents,3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2665,Mean Time Between Failures (MTBF),Mean Time Between Failures (MTBF),3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2666,Number of unplanned outages,Number of unplanned outages,3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2667,Number of planned outages,Number of planned outages,3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2668,Response time,Response time,3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2669,Throughput,Throughput,3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2670,Error rate,Error rate,3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2671,Security incidents,Security incidents,3327,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2672,Reduction in manual requests by 50%,Reduction in manual requests by 50%,3336,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2673,Increase in customer satisfaction by 20%,Increase in customer satisfaction by 20%,3336,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2674,Reduction in resolution time by 30%,Reduction in resolution time by 30%,3336,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2675,Increase in first call resolution by 25%,Increase in first call resolution by 25%,3336,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2676,Reduction in the number of manual service requests,Reduction in the number of manual service requests,3432,Yes,Controllable,Innovation,Up,Yes,%,NULL,NULL,NULL,Engineering Metric,0,5
2677,Reduction in the number of incidents,Reduction in the number of incidents,3432,Yes,Controllable,Innovation,Up,Yes,%,NULL,NULL,NULL,Engineering Metric,0,5
2678,Reduction in the number of organizational silos,Reduction in the number of organizational silos,3432,Yes,Controllable,Innovation,Up,Yes,%,NULL,NULL,NULL,Engineering Metric,0,5
2679,Reduction in product development time,Reduction in product development time,3432,Yes,Controllable,Innovation,Up,Yes,%,NULL,NULL,NULL,Engineering Metric,0,5
2680,,,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2681,Number of tickets resolved through self-service portal,Number of tickets resolved through self-service portal,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2682,Time saved on routine tasks,Time saved on routine tasks,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2683,Customer satisfaction score (CSAT) and first response time,Customer satisfaction score (CSAT) and first response time,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2684,Downtime reduction and maintenance cost savings,Downtime reduction and maintenance cost savings,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2686,Number of identified process improvements implemented,Number of identified process improvements implemented,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2687,Number of suggested improvements implemented,Number of suggested improvements implemented,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2688,Employee engagement and retention rates,Employee engagement and retention rates,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2689,Time to market and product quality improvement,Time to market and product quality improvement,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2691,Employee satisfaction and productivity improvement,Employee satisfaction and productivity improvement,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2692,Reduction in role confusion and increased accountability,Reduction in role confusion and increased accountability,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2693,Improved decision-making and risk management,Improved decision-making and risk management,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2694,Improved employee performance and productivity,Improved employee performance and productivity,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2696,Reduction in product complexity and cost savings,Reduction in product complexity and cost savings,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2697,Improved product quality and time to market,Improved product quality and time to market,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2698,Improved product innovation and customer satisfaction,Improved product innovation and customer satisfaction,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2699,Alignment of product strategy with business objectives and improved resource allocation.,Alignment of product strategy with business objectives and improved resource allocation.,3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2700,"Number of tickets resolved through self-service vs. agent-assisted, customer satisfaction rating of self-service options","Number of tickets resolved through self-service vs. agent-assisted, customer satisfaction rating of self-service options",3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2701,"Time saved per ticket, reduction in error rates, customer satisfaction rating of automated processes","Time saved per ticket, reduction in error rates, customer satisfaction rating of automated processes",3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2702,"Number of tickets resolved using knowledge base, reduction in ticket resolution time, customer satisfaction rating of knowledge base","Number of tickets resolved using knowledge base, reduction in ticket resolution time, customer satisfaction rating of knowledge base",3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2703,"Reduction in downtime, reduction in number of incidents, customer satisfaction rating of proactive monitoring and alerting","Reduction in downtime, reduction in number of incidents, customer satisfaction rating of proactive monitoring and alerting",3339,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2704,Number of successful self-service transactions,Number of successful self-service transactions,3337,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2705,Number of successful chatbot interactions,Number of successful chatbot interactions,3337,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2706,Completion rate of training courses,Completion rate of training courses,3337,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2707,Reduction in time to implement changes,Reduction in time to implement changes,3337,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2708,"Recovery Time Objective (RTO), Recovery Point Objective (RPO), Mean Time to Recovery (MTTR)","Recovery Time Objective (RTO), Recovery Point Objective (RPO), Mean Time to Recovery (MTTR)",3328,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2709,"Time Saved, Error Reduction, Increased Efficiency","Time Saved, Error Reduction, Increased Efficiency",3328,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2710,"Mean Time Between Failures (MTBF), Mean Time to Repair (MTTR), Availability Percentage","Mean Time Between Failures (MTBF), Mean Time to Repair (MTTR), Availability Percentage",3328,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2711,"Reduction in Downtime, Reduction in Maintenance Costs, Increase in Asset Lifespan","Reduction in Downtime, Reduction in Maintenance Costs, Increase in Asset Lifespan",3328,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2712,Reduced time to market by 30%,Reduced time to market by 30%,3333,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2713,Reduced time to resolve customer issues by 25%,Reduced time to resolve customer issues by 25%,3333,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2714,Increased employee retention rate by 10%,Increased employee retention rate by 10%,3333,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2715,Increased number of innovative ideas generated by employees by 25%,Increased number of innovative ideas generated by employees by 25%,3333,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2720,User satisfaction ratings,User satisfaction ratings,3331,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2721,User adoption rates,User adoption rates,3331,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2722,Page/application load time,Page/application load time,3331,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2723,User task completion time,User task completion time,3331,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2724,"Time to market, percentage increase in product launches","Time to market, percentage increase in product launches",3330,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2725,"Usage rate of tool, decrease in project cycle time","Usage rate of tool, decrease in project cycle time",3330,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2726,"Increase in adoption rate of new tools, improvement in productivity metrics","Increase in adoption rate of new tools, improvement in productivity metrics",3330,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2727,"Alignment score, improvement in revenue and profit metrics","Alignment score, improvement in revenue and profit metrics",3330,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2728,Time to market for new products,Time to market for new products,3330,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2732,"Reduction in time to resolve incidents, Increase in first call resolution rate","Reduction in time to resolve incidents, Increase in first call resolution rate",3340,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2733,"Reduction in time to escalate incidents, Increase in overall incident resolution rate","Reduction in time to escalate incidents, Increase in overall incident resolution rate",3340,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2734,"Reduction in time to detect and resolve events, Increase in proactive resolutions at early stages","Reduction in time to detect and resolve events, Increase in proactive resolutions at early stages",3340,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2735,"Reduction in time to identify and resolve service issues, Increase in service availability and uptime","Reduction in time to identify and resolve service issues, Increase in service availability and uptime",3340,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2736,Decrease in manual service requests by 50% within 6 months,Decrease in manual service requests by 50% within 6 months,3340,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2737,Increase in successful automated event responses by 30% within 3 months,Increase in successful automated event responses by 30% within 3 months,3340,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2738,Increase in accuracy of AI/ML predictions by 20% within 6 months,Increase in accuracy of AI/ML predictions by 20% within 6 months,3340,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2739,Decrease in manual processes by 40% within 3 months,Decrease in manual processes by 40% within 3 months,3340,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2740,Number of processes automated,Number of processes automated,3338,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2741,Reduction in unplanned downtime,Reduction in unplanned downtime,3338,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2742,Reduction in response time,Reduction in response time,3338,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2743,Reduction in HR inquiries,Reduction in HR inquiries,3338,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2744,Increase in user satisfaction ratings,Increase in user satisfaction ratings,3332,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2745,Decrease in time-to-market for new features and products,Decrease in time-to-market for new features and products,3332,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2746,Increase in successful project delivery and completion rates,Increase in successful project delivery and completion rates,3332,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
2747,Decrease in process cycle times,Decrease in process cycle times,3332,NULL,NULL,Innovation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3736,Average leads generated per quarter,NULL,3845,NULL,NULL,Customer Relationship,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3737,Deal conversion rate,NULL,3846,NULL,NULL,Customer Relationship,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3738,Customer Satisfaction,NULL,3846,NULL,NULL,Customer Relationship,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3739,Quota success rate,NULL,3848,NULL,NULL,Customer Relationship,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3740,First Response Time,NULL,3848,NULL,NULL,Customer Relationship,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3741,On Time Delivery,NULL,3850,NULL,NULL,Service And Product Lifecycle,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3742,Cycle Time,NULL,3851,NULL,NULL,Supply chain Management,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3743,Revenue growth,NULL,3853,NULL,NULL,Corporate Functions,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3744,Procurement ROI and benefits,NULL,3854,NULL,NULL,Corporate Functions,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3745,Legal spend as % of Revenue,NULL,3855,NULL,NULL,Corporate Functions,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3746,Time to hire,NULL,3856,NULL,NULL,Corporate Functions,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3747,Training Efficiency,NULL,3857,NULL,NULL,Corporate Functions,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3748,cost per unit produced,NULL,3859,NULL,NULL,R&D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3749,Sales cycle length,NULL,3860,NULL,NULL,R&D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3750,Design,NULL,3860,NULL,NULL,R&D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3751,Throughput rate,NULL,3860,NULL,NULL,R&D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3753,Sales cost (% of revenue),NULL,3845,NULL,NULL,Customer Relationship,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3754,Days sales outstanding,NULL,3845,NULL,NULL,Customer Relationship,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3755,Time to market for new products,NULL,3845,NULL,NULL,Customer Relationship,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
3756,Compliance Rate ,Compliance Rate ,3854,High,NULL,Corporate Functions,Up,NULL,Days,100,NULL,NULL,NULL,0,5
3757,Supplier defect rate,Supplier defect rate,3854,High,NULL,Corporate Functions,Up,NULL,Days,0,NULL,NULL,NULL,0,5
3758,PO and invoice accuracy.,PO and invoice accuracy,3854,High,NULL,Corporate Functions,Up,NULL,Days,0,NULL,NULL,NULL,0,5
3759,Rate of emergency purchases,Rate of emergency purchases,3854,High,NULL,Corporate Functions,Down,NULL,Days,0,NULL,NULL,NULL,0,5
3760,Supplier lead time,Supplier lead time,3854,High,NULL,Corporate Functions,Up,NULL,Days,0,NULL,NULL,NULL,0,5
3761,PO cycle time,PO cycle time,3854,High,NULL,Corporate Functions,Down,NULL,Days,0,NULL,NULL,NULL,0,5
3762,Vendor availability,Vendor availability,3854,High,NULL,Corporate Functions,Up,NULL,Days,0,NULL,NULL,NULL,0,5
3763,Cost per invoice and PO,Cost per invoice and PO,3854,High,NULL,Corporate Functions,Down,NULL,Days,0,NULL,NULL,NULL,0,5
